label,text
Non-Compete,"However, Qualigen shall not engage any distributors (whether exclusive or non-exclusive) other than Sekisui for the Qualigen Retained Customers (Page 4) Sekisui shall not, and shall cause its subdistributors not to, market, rent or sell any Products to the Qualigen Retained Customers. 3. Supply;"
Warranty,"In the event that the Product fails to conform to the Product Specifications, and/or GMP, Ultragenyx may reject the Product by giving written notice to Cremer within [***] days after receipt of the Product and all documentation (except such [***] day period will not apply for any latent defect)."
Audit Rights,"In January of each calendar year Constellation shall allow, at the written request and expense of the HOF Entities, the HOF Entities the right to audit during normal business hours all relevant Constellation records related to New Business generated during the immediately preceding calendar year."
Dispute Resolution,"The Franchisee will not directly or indirectly, at any time during the term of this Agreement or thereafter, do or cause to be done any act or thing disputing, attacking or in any way impairing the validity of and BKC's right, title or interest in the Burger King Marks and the Burger King System."
Exclusivity,"Except as may be provided in any Schedule, Customer agrees that, during the Term, Metavante shall be Customer's sole and exclusive provider of all Services included in Metavante's Integrated Banking Solution (deposit and loan processing services provided by Metavante as of the Commencement Date)."
Insurance,"The Company, the MHCs, the Bank and each Subsidiary carries, or is covered by, insurance in such amounts and covering such risks as is adequate for the conduct of their respective businesses and the value for their respective properties as is customary for companies engaged in similar industries."
Non-Compete,"Notwithstanding the foregoing, ExxonMobil hereby grants approval for FCE solely to conduct Authorized Work using Generation 1 Technology with Authorized Third Parties for Carbon Capture Applications and any Work using Generation 2 Technology solely for Power Applications and Hydrogen Applications."
Liability,"Except for claims arising out of Articles 4.3 and 7.0, or as may be set forth in a SOW, neither Party will be liable for any consequential damages, lost profits, lost savings, loss of anticipated revenue, or any exemplary, punitive, special or indirect damages, even if advised of their possibility."
Liability,"EXCEPT UNDER SECTION 13(c) and (d), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE."
Liability,"EXCEPT IN THE EVENT OF A BREACH OF SECTION 11, NEITHER PARTY SHALL BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES."
Exclusivity,"Subject to the terms set forth in this agreement, Erchonia grants Distributor the exclusive, non- transferable right and license to promote, distribute and sell the Products identified in Exhibit A to those type of customer specified in Exhibit B and only within the Territory specified in Exhibit B."
Change of Control,"Notwithstanding the foregoing, a Party may transfer or assign its rights under this IP Agreement in connection with a merger, acquisition or sale of all or substantially all of its assets, on condition that it provides the <omitted> other Party with notice of the transfer or assignment. (Pages 17-18)"
Warranty,"APOLLO has the right to reject, via written notification to ESTABLISHMENT within this thirty (30) day period, any or all of a shipment of Product that fails to satisfy any warranty in this Agreement and may reject all of a given Lot of Product if a statistical sample does not meet the Specifications."
Liability,"EXCEPT FOR IN THE EVENT OF WILLFUL MISCONDUCT OR GROSS NEGLIGENCE, THE RESELLER AND ITS AFFILIATES SHALL NOT BE LIABLE TO THE COMPANY, AND SHALL HAVE NO OBLIGATION TO INDEMNIFY OR HOLD HARMLESS THE COMPANY, WITH RESPECT TO OR IN CONNECTION WITH ANY LOSS RESULTING FROM OR CAUSED BY THE COMPANY PRODUCTS."
Non-Compete,"During the term of this Agreement and for a period of [***] thereafter, neither Party nor its controlled Affiliates will, without the prior written consent of the other Party, directly or indirectly solicit for employment any then-current employee of the other Party or its controlled Affiliates; [***]."
Non-Compete,"During the term of this agreement, Distributor shall not market, sell advertise or promote the sale or use of any product or device which is competitive with or substantially similar to the Products, without the prior express written consent of Erchonia, nor shall they assist any third party in doing so."
Change of Control,"In the event there is a change of Control of an Affiliate which terminates its status as an Affiliate of the party to this Agreement, and this Agreement has been assigned to such an Affiliate, this Agreement must be assigned back to the party within 6 months of the effective date of the change of Control."
Non-Compete,"Talent represents and warrants that he has not granted nor will he grant to any other party any right, permission, or license to use the Property in connection with the advertisement, sale, or promotion of the Product or in connection with products that are identical or substantially similar to the Product."
Non-Compete,"Auriemma will not enter into any arrangement or agreement, which enables any Berkshire Competitor to be endorsed by Auriemma (whether by using the Auriemma Identification, Auriemma providing services similar to the Endorsement Services, or otherwise) during the Contract Period within the Contract Territory."
Audit Rights,"During the Promotion Period, iVillage traffic shall be audited by a third party traffic auditor listed on Exhibit A and iVillage shall provide FMM with relevant reports on a biweekly basis. (Page 2) All traffic reports shall be audited by the third party traffic auditor selected pursuant to Section 2.C.(ii)."
Audit Rights,"M&I shall cause a third party review of its data processing center, the Operations Center, and related internal controls to be conducted annually by its independent auditors. (Page 18) M&I shall provide without charge to Customer, upon written request, one copy of the audit report resulting from such review."
Dispute Resolution,"The Parties acknowledge and affirm their respective rights in and to the relevant trademark and related rights subject to this Agreement and neither Party shall directly or indirectly attack, challenge or impair the title and related rights of the other Party during the Interim Period or any time thereafter."
Exclusivity,"Biocept will have sole responsibility for performing the Technical Component of all Tests sold by the parties, until and unless Life Technologies obtains the right from Biocept to independently develop its own Tests in accordance with all applicable FDA regulatory requirements, as provided for in Section 7.1."
Warranty,"Upon Manufacturer's request, Subcontractor will facilitate such Manufacturer's Products being repaired or replaced, Manufacturer must return the Manufacturer's Products to Subcontractor, transportation charges prepaid by Manufacturer, within fifteen (15) days of the end of such thirty (30) date notice period."
Exclusivity,"Channel Partner accepts iPass as the exclusive provider to Channel Partner for all services of the nature of the Services. In no event may Channel Partner resell or otherwise provide the Service to any third party for purposes of further ""down channel"" resale of the Services, absent iPass' notice and consent."
Exclusivity,University hereby grants to ArTara an exclusive license to use the Program Data solely for the Project and in Regulatory Filings in the Field in the Territory. (Page 7) University hereby grants to ArTara an exclusive Right of Reference to all Program Regulatory Filings by University in support of the Product.
Exclusivity,"Starting on the Effective Date, Antares or its Subcontractor shall provide the Manufacturing Services in order to manufacture Devices, Products, sample Products and Trainers exclusively for AMAG for the Territory, all in accordance with the Specifications, Applicable Laws, Quality Agreement and this Agreement."
Insurance,Inktomi will maintain insurance (including but not limited <omitted> to liability and property insurance covering the Hosting Servers and Inktomi's operation thereof) in accordance with the requirements set forth in the Software Development Agreement and Loan Agreement between the parties of even date herewith.
Audit Rights,"Either party, at its sole expense, upon at least thirty (30) days written notice (and not more than once in respect of any accounting period) will have the right to inspect the other party's books regarding the obligations hereunder for a period of two (2) years from the date on which any statement is rendered."
Audit Rights,"VS shall cooperate with any internal reviews or audits by PPD or Sponsor (or its and their representatives) and shall make available for examination and duplication, during normal business hours and at mutually agreeable times, all documentation, data and information relating to this Agreement or any Work Order."
Insurance,Each party shall be responsible for maintaining Worker's Compensation insurance in the statutory amounts required by the applicable state laws. (Page 12) Each party shall maintain Commercial General Liability insurance with bodily injury and property damage limits of $[*****] per occurrence and $[*****] aggregate.
Audit Rights,"Upon [***] days' notice and at time mutually agreed upon by the Parties during Dong-A's normal business hours, but no more frequently than [***] every year during the term of this Agreement, NeuroBo may, at its cost and expense, inspect Dong-A's manufacturing facilities where the Licensed Products are manufactured."
Non-Compete,"Except as expressly contemplated by this Agreement (including Article XIII hereof) and subject to Section 13.1 hereof, King shall not promote, market or distribute any product containing metformin hydrochloride as the sole active ingredient in the Territory during the Term of this Agreement, other than the Product."
Insurance,"At all times while this Agreement is in effect, Company shall carry insurance of the types and in the minimum amounts set forth in Exhibit ""G"". All such insurance set forth in Exhibit ""G"" shall specifically name BP as an additional insured or provide that the insurer shall waive all rights of subrogation against BP."
Exclusivity,"During the Term, and without limiting Section 4.2, Achaogen hereby grants to Microgenics a royalty-free, exclusive, worldwide license to use the Achaogen <omitted> Know-How, Achaogen Patents, and Achaogen Materials to research, develop, manufacture, use, market and sell the Assay in the Territory. [***]. (Pages 19-20)"
Warranty,"TouchStar warrants that (a) with regard to the TouchStar Software, <omitted> (ii) for a period of ninety (90) days after delivery, the TouchStar Software will perform in all <omitted> material respects with the specifications contained in TouchStar's technical literature with regard to the TouchStar Software, <omitted>"
Insurance,"VS represents and warrants that it has and will maintain during the Term of this Agreement and, additionally, where applicable, during the term of any active Work Order, and for a period of two (2) years following expiration or termination of either, insurance in the types and limits generally accepted in the industry."
Non-Compete,"During the term and for a period of [***] thereafter, neither party shall solicit, induce, encourage or attempt to induce or encourage any employee of the other party with whom such party has had direct contact to terminate his or her employment with such other party or to breach any other obligation to such other party."
Audit Rights,"For a period of not less than two (2) years after the date of termination, each party shall maintain, and make available to the other party upon its request, for inspection and copying all books and records that pertain to performance of and compliance with obligations, warranties and representations under this Agreement."
Non-Compete,"Wade represents and warrants that during the Term and in the Territory, neither Wade nor any of his agents, representatives or employees will solicit, initiate, or encourage any proposal for an endorsement by Wade of any Innerwear to commence during the Term, or participate in any discussions or negotiations for the same."
Audit Rights,"PURCHASER allows SONY to audit PURCHASER's manufacture and testing of SRAM Products for purposes of determining the quality of those SRAM Products that bear a marking which indicates a connection to SONY from time to time upon reasonable request, subject to SONY's execution of a standard PURCHASER confidentiality agreement"
Insurance,"The Agent, shall, during the term of this Agreement, maintain full insurance against the risk of loss or damages to the Roundup Products for any Agents' warehouse where Roundup Products are under the custody of the Agent and, upon request, shall furnish Monsanto with satisfactory evidence of the maintenance of said insurance."
Audit Rights,"During the Term, and for a period of twelve (12) months thereafter, Rogers (and its representatives) shall have the right, upon reasonable prior written notice to Licensor, and during regular business hours, to inspect and/or audit Licensor's books and records to confirm compliance with Licensor's obligations under this Section."
Audit Rights,"Each party will have the right to engage an independent third party to audit the books and records of the other party relevant to the calculation of Retail Impressions or CNET Sales, upon reasonable notice and during normal business hours, and the other party will provide reasonable cooperation in connection with any such audit."
Insurance,"In those states where Broker Dealer has not obtained an insurance license, Broker Dealer represents and warrants that: it has entered into an insurance networking agreement with the undersigned duly licensed insurance affiliate(s) to act on its behalf in the capacity of a licensed insurance agent or agency (""Affiliated Agency"")."
Dispute Resolution,"HCI agrees: (i) that MLX is the owner of the MLX Marks and the goodwill and reputation associated therewith; (ii) not to contest the validity of the MLX Marks or MLX's title thereto; (Page 2) Without limiting the generality of the foregoing, MLX agrees: <omitted> not to contest the validity of the HCI Marks or HCI's title thereto;"
Insurance,"During the term of this Agreement and for a period [*] after any expiration or termination of this Agreement, each of INTERSECT and HOVIONE shall maintain in full force and effect a comprehensive general liability insurance policy, including Products Liability coverage, with minimum limits of [*] for bodily injury including death."
Change of Control,"If there is a change in Control of the first party, the second party may, entirely at their own option and without thereby becoming liable for any costs or losses which the first party or its holding company or any company in which it may hold shares may suffer as a result terminate the Agreement by notice in writing to first party."
Insurance,"The Supplier shall add the distributor to their current insurance certificate. (Page 9) During the Term, the Supplier shall maintain product liability insurance with a reputable insurer of no less than AU$10 million for any one occurrence for any and all liability (however arising) for a claim that the Products are faulty or defective."
Insurance,"Each Party shall maintain, through self-insurance or commercially-placed insurance, adequate commercial general liability and products liability insurance, including contractual liability coverage, necessary to satisfy its obligations hereunder and consistent with pharmaceutical and <omitted> diagnostic industry practices. (Pages 30-31)"
Audit Rights,"You agree, upon the reasonable request of Nationwide, to provide access during normal business hours to your facilities and records related to the services provided and the compensation payable hereunder, and to permit Nationwide to review the quality of such services provided and to respond to requests of the Trust's Board of Trustees."
Audit Rights,"MD Anderson shall make such records available to LBIO upon reasonable notice during MD Anderson's normal business hours. (Page 9) LBIO may use the records and Reports (as defined below) for any purpose, including interactions and communications with, and/or submissions and filings to the applicable governmental or regulatory authorities."
Dispute Resolution,"Licensee will not, at any time during or after this Agreement, register, attempt to register, claim any interest in, contest the use of, or otherwise adversely affect the validity of any of Licensor's marks (including, without limitation, any act or assistance to any act, which may infringe or lead to the infringement of any such marks)."
Insurance,"Each Party, at its own expense, shall maintain product liability and other appropriate insurance (or self- insure) in an amount consistent with industry standards during the Term. (Page 47) Each Party shall provide a certificate of insurance (or evidence of self-insurance) evidencing such coverage to the other Party upon written request."
Warranty,"Any rejection or revocation of acceptance by Buyer (a) must be made within thirty (30) days of the products being made available for shipment to Buyer, (b) any attempted rejection or revocation of acceptance made thereafter shall be null and void, and (c) any rejection or revocation of acceptance shall comply with Seller's return protocol."
Insurance,"Party B shall purchase sufficient insurance for the transportation vehicles. (Page 3) The coverage of third-party liability insurance shall not be lower than RMB1 million. (Page 3) In addition to vehicle personnel insurance, Party B shall at least purchase injury insurance for two persons with coverage not lower than RMB500,000 per person."
Warranty,"Company further warrants all Products to be free from defects in material or workmanship under normal use and service for a period of ninety (90) days from the date of delivery. Any defects must be replaced by the Company within sixty (60) days within this scope of the warranty and all charges for labor and material, will be borne by Company"
Exclusivity,"PageMaster Corporation shall not engage in the same or similar promotion with any other On-Line Casinos from June 1, 1999 through June 1, 2000. (Page 1) Go Call shall not engage in the same or similar promotions during the Term of this Agreement with any other entity providing paging services, equipment or other related products and services."
Audit Rights,"ESTABLISHMENT shall permit APOLLO and its agents, during business hours and upon notice to ESTABLISHMENT, to inspect the Facilities where the Product is manufactured, handled, stored or tested, as well as all processes relating to the manufacture, handling, storage, or testing of the Product, as well as all test records regarding the Product."
Audit Rights,"Both Parties acknowledge and confirm that the Reserve Bank of India (hereafter ""RBI"") or persons authorized by it has right to access and inspect the PC Financial's documents, records of Service transactions and other necessary information related to the Services or Activity given to, stored or processed by Mobimagic within a reasonable time."
Audit Rights,"Customer grants to Cisco and its independent accountants the right to examine Customer's books, records and accounts during Customer's normal business hours to verify compliance with this Agreement. (Page 2) In the event such audit discloses non-compliance with this Agreement, Customer shall promptly pay to Cisco the appropriate license fees."
Exclusivity,"During the term of this Agreement, or any extensions of this Agreement, Endorser and the Lender hereby agree and warrant that it will not enter into any other endorsement agreement for the use of Endorser's name, image and/or likeness for advertising, marketing and/or endorsement of any other dietary supplements during the Term of this Agreemen"
Dispute Resolution,"During the term of this Agreement and after its expiration or termination, you shall not directly or indirectly contest the validity of, or our ownership of the Proprietary Marks, nor take any other action which may tend to jeopardize our or our affiliate's interest therein, or our right to use and to license others to use the Proprietary Marks."
Insurance,"So long as HOC is entitled to nominate and maintain a director pursuant to this Article 5, the Company shall indemnify each current and former HOC Director and shall maintain director's and officer's liability insurance for the benefit of each such director, with the same rights and benefits as are accorded the directors of the Company generally."
Dispute Resolution,"Monsanto further agrees that it will in no way dispute, impugn or attack the validity of said Canada Marks or OMS Investments, Inc.'s or the Agent's rights thereto. (Page 36) Monsanto further agrees that it will in no way dispute, impugn or attack the validity of the Additional Roundup Products Trademarks or the respective owner's rights thereto."
Dispute Resolution,"ANTHEMIC will not, at any time during or after the Effective Date, dispute or contest, directly or indirectly, the Sponsor's exclusive ownership in the Sponsor's trademarks. (Page 4) The Sponsor will not, at any time after the Effective Date, dispute or contest, directly or indirectly, ANTHEMIC's exclusive ownership in their respective trademarks."
Audit Rights,"From time to time during the Term of this Agreement, upon reasonable advance notice, Contractor shall permit the Company and its agents, representatives, auditors and designees to visit, inspect and have full access, during normal business hours, to properties, assets, books, records, agreements, documents, data, files and personnel of Contractor."
Change of Control,"In the event of a 'Change of Control' of Company, then if CONSULTANT's services are terminated without cause at any time within a twelve (12) month period following such Change of Control, CONSULTANT shall receive a termination fee equal to twelve (12) months compensation hereunder at the then current monthly rate, including any stock compensation."
Audit Rights,"Consolidated Artists and Advantage, at Consolidated Artists' expense, shall have the right during the Contract Period and until two (2) years after the termination of this Agreement to inspect and make copies of the books and records of TPC insofar as they relate to the computation of royalty payments due and owing to Consolidated Artists hereunder."
Exclusivity,"Oceanic Time Warner Cable will use the content solely on channel 777, the Las Vegas channel. (Page 1) Watchit shall have the exclusive right to sell third party advertising as sponsors of their content and will have the right to brand the content under the Watchit brand and place a ""bug"" on the screen identifying the content with a Watchit trademark."
Warranty,"For used LRUs and Main Elements repaired and overhauled by the Repairer, the warranty period shall start on the date of Delivery and shall end [*****] thereafter, whichever occurs the earliest, and such warranty shall be subject to the exclusions of warranty set forth in Exhibit 10 (""LRUs Repair Service"") and in Exhibit 11 (""Main Elements Services"")."
Change of Control,"Subject to Article 22.2, this Agreement shall remain in force for an Initial Period of 1 year, which may be renewed by mutual consent for such period as the Parties may agree (""Term""), unless it is terminated earlier in accordance with this Agreement or for any of the following reasons: <omitted> or in case of a change of control of one of the Parties;"
Warranty,"Upon receipt from iVillage of the proposed Bridge Site design and content, FMM shall have no more than five (5) business days in which to provide iVillage with its acceptance or rejection of the design and content. If iVillage does not receive FMM's acceptance or rejection of such within the allotted time, iVillage shall deem FMM's silence as acceptance."
Exclusivity,"In consideration of the payments, through the issuance of securities to AJR as provided for in Section 3 hereof, AJR agrees to designate XC as an associate sponsor and the ""exclusive technology sponsor"" for wearable computer technology"" of the Team for the Season and grants to XC the rights and benefits of such sponsorship as more fully set forth herein."
Change of Control,"For purposes of the preceding sentence, and without limiting its generality, any merger, consolidation or reorganization involving Licensee (regardless of whether Licensee is a surviving or disappearing entity) will be deemed to be a transfer of rights, obligations or performance under this Agreement for which Licensor's prior written consent is required."
Audit Rights,"Tripath may have an authorized Tripath representative, at Tripath's cost, audit Distributor's records relating to sales and inventories of Products, including, without limitation, records pertaining to any claims submitted by Distributor for price protection, stock rotation, returned Products, ship from stock and debit, DPA allowances, and credit requests."
Change of Control,"Notwithstanding the foregoing, in the event Sutro undergoes a Change of Control or Sutro permits any third party to acquire Extract directly from an Alternate Supplier established under the Transfer Addendum, then SutroVax shall thereafter have the right to establish a supply agreement with and obtain supply of Extract directly from such Alternate Supplier."
Change of Control,"Licensor may terminate this Agreement: <omitted> (2) Upon thirty (30) days prior written notice if Licensee enters into an agreement or other arrangement relating to the merger of Licensee with another entity, the acquisition of the majority of Licensee's issued and outstanding capital stock or the acquisition of substantially all of the assets of Licensee."
Insurance,"Company will carry a reasonable amount of product liability insurance through a reasonably acceptable products liability insurance company and will name the Distributor as an additional insured under that policy. Company will make reasonable efforts to procure a policy, which is non-cancelable, except upon thirty (30) days, advance notice to the Distributor."
Dispute Resolution,"Provided they do not infringe the marks of Affiliate or an affiliate of Affiliate, Affiliate shall not directly or indirectly question, attack, contest or in any other manner impugn the validity of the Marks or Network's rights in and to the Marks and shall reasonably cooperate with Network's quality control, monitoring and inspection of the use of the Marks."
Audit Rights,"Zynga shall permit such records to be examined by authorized representatives of WPT, including such independent auditors as WPT may designate, during usual business hours, with advance notice, to verify to the extent necessary the Royalties paid hereunder, and WPT and its representatives shall use reasonable efforts to minimize disruptions to Zynga's business."
Dispute Resolution,"Each party each agrees that it will not knowingly do anything inconsistent with the other party's ownership of such party's intellectual property, including without limitation, questioning the validity of that party's Trademarks or registering or attempting to register the other party's Trademarks in its own name or that of any other firm, person or corporation."
Exclusivity,"In this regard, it is specifically understood and agreed that CONTENT PROVIDER will not during the Term of this Agreement take any action to exploit or otherwise use, reproduce, distribute, transmit and publicly display any of the Content via the internet to Universities and College students in the People's Republic of China except for the benefit of the COMPANY."
Dispute Resolution,"Valeant shall not at any time during the Term knowingly do or allow to be done any act or thing which will in any way impair or diminish the rights of Dova in or to the Dova Trademarks and Copyrights. (Page 15) During the Term, Valeant will not contest the ownership of the Dova Trademarks and Copyrights, their validity, or the validity of any registration therefor."
Exclusivity,"Schoolpop shall have the exclusive right to resell Cards in the NPO Marketplace. (Page 1) AEIS, on its own behalf, reserves the right to market its Cards and other products and services directly as 1 well as through additional firms on terms and conditions that it selects in its sole discretion, provided that no such sales shall take place within the NPO Marketplace."
Insurance,"Each Party acknowledges and agrees that during the Term, it shall maintain, through purchase or self- insurance, adequate insurance, including products liability coverage and comprehensive general liability insurance, adequate to cover its obligations under this Agreement and which are consistent with normal business practices of prudent companies similarly situated."
Dispute Resolution,"Telnet acknowledges Galaxy's exclusive ownership of the Galaxy name and logo as well as certain other trademarks and trade names which Galaxy uses in connection with the Products and Services (the ""Trademarked Material"") and agrees that Telnet will not acquire any interest in any of the Trademarked Material by virtue of this Agreement or anything done pursuant to it;"
Dispute Resolution,"At no time during or after the term of this Agreement will the Distributor challenge or assist others to challenge JRVS Trademarks or the registration thereof or attempt to register any trademarks, marks or trade names confusingly similar to those of JRVS. T (Page 4) The Distributor will not challenge any intellectual property rights claimed by JRVS in such trademarks."
Audit Rights,"Inktomi will permit Microsoft to have access to, and to make copies of, all such books and records for purposes of auditing and verifying such costs and expenses, provided that Microsoft shall give Inktomi reasonable notice prior to each requested audit and shall perform such audit during normal business hours at Inktomi's office(s) where such records are normally kept."
Warranty,"Should MMI not supply the Services as agreed or should the Services become defective within 6 months from their delivery to Dragon Systems, Dragon Systems may at its option require MMI to complete or re-perform the Services within a reasonable period of time, rescind the contract or refuse payment of the compensation in part or in total, notwithstanding any damage claims."
Exclusivity,"(If exclusive agreement, add ""Developer expressly acknowledges that the exclusive rights granted herein apply only to the right to develop new restaurants in the Territory, and no exclusive territory or radius protection for the term of any Franchise Agreement is granted herein and any such protection shall be set forth in the particular Franchise Agreement to be signed."")"
Change of Control,"You may not permit the Franchised Business to be operated, managed, directed, or controlled by any other person without our prior written consent. (Page 17) The Owners may not enter into any shareholders' agreement, management agreement, voting trust or other arrangement that gives a third party the power to direct and control your affairs without our prior written consent."
Dispute Resolution,"Neither Party shall do or cause to be done any act or thing that may in any way adversely affect any rights of the other Party in and to such other Party's Marks or any registrations thereof or that, directly or indirectly, may reduce the value of such Marks or detract from any Mark's reputation, including challenging the ownership, validity or enforceability of such Marks."
Insurance,Agent or its successors shall maintain during the term of this Agreement and while it is still responsible for its Book of Business: i.All required workers' compensation or similar insurance; ii.Comprehensive general liability insurance. (Page 6) Kallo shall maintain comprehensive general liability and errors and omissions insurance for the Kallo Mobile care suite of products.
Change of Control,"Notwithstanding Section 7.1 above, this Agreement may be terminated upon the occurrence of any of the following events: (a) At the election of either party, in writing, if: (i) all or substantially all of the assets of the non-terminating party are transferred, sold or liquidated; <omitted> or (v) the ownership or operations of the non-terminating party have materially changed;"
Warranty,"Tripath provides an end user limited warranty for retail Products, and one-year limited warranty for OEM products. (Page 4) For OEM Products, Tripath warrants that the Products will be free of manufacturing and workmanship defects for one year from the date of shipment by Distributor to a customer, or eighteen months from the date of shipment to Distributor, whichever is sooner."
Warranty,"Todos warrants that for a period of one (1) year from the date of delivery of each Product to the Reseller, the Product, except for those components that have a shorter expiration date as set forth on Exhibit A, shall perform substantially in accordance with the Product's documentation and specifications, and shall be free from all defects in materials, manufacture, and workmanship."
Warranty,"Qualigen shall provide to Sekisui and for the benefit of Sekisui's customers of Products a standard commercial written warranty that the Products will be free of defects in materials or workmanship starting from the date the Product has been received by Sekisui's customer and ending after the length of time stated for the applicable Product on Exhibit D hereto (the ""User Warranty"")."
Change of Control,"GSK may sublicense or subcontract its rights to Develop, Manufacture or Commercialize the Collaboration Products in whole or in part to one or more of its Affiliates, provided that the rights sublicensed or subcontracted to such Affiliate shall automatically terminate upon a change of control of such Affiliate in connection with which such Affiliate ceases to be an Affiliate of GSK."
Exclusivity,"Company hereby appoints Distributor as Company's exclusive Distributor for the State of Texas, and Distributor accepts the appointment and agrees to represent the Products within the Territory. (Page 2) Company agrees that no other Distributor will be appointed in any other state as a Distributor unless it is either the Company or Distributor, save and except for the state of Florida."
Dispute Resolution,"Bioeq may terminate this Agreement immediately upon written notice to Licensee, if Licensee or any of its Affiliates or sublicensees directly or indirectly challenge the validity or enforceability of, or oppose any extension of or the grant of a supplementary protection certificate with respect to, any Licensed Patent in any legal, court, administrative or other governmental proceeding."
Change of Control,"A Party may assign the whole of its rights under this Agreement to a successor by law, Subsidiary or Affiliate of such Party, or a corporation or an entity jointly controlling or under the same common control as such Party, provided that the assigning Party shall remain jointly and severally liable with the assignee for the performance of this Agreement for the duration of the Agreement."
Exclusivity,"During the term of this Agreement, Consultant will not, directly or indirectly (whether for compensation or without compensation) engage in or provide consulting services, or enter into any agreement either written or oral, that would present a material conflict with any of the provisions of this Agreement, or would preclude Consultant from complying with the terms and conditions hereof."
Change of Control,"Notwithstanding the foregoing, either party shall have the right to assign this Agreement in connection with the merger or acquisition of such party or the sale of all or substantially all of its assets related to this Agreement without such consent, except in the case where such transaction involves a direct competitor of the other party where consent of the other party will be required."
Exclusivity,"Co-Host shall be the exclusive reseller of software products (""Software"") at the Originating Locatio (Page 2) Short Term Product Exclusives. For a period of fourteen (14) days following release of any new NAI Goods or major version releases (i.e., version 3.0 to 4.0) of existing NAI Goods, Co-Host shall be the exclusive online seller of any such <omitted> release released during the Term."
Exclusivity,"During the initial one year period beginning on the Amendment Date, Distributor shall be the only distributor appointed by NETGEAR in [*], subject to Distributor conducting mutually agreed to marketing activities as described in the Marketing Plan for [*] to be developed and agreed to by and between the parties and which shall be attached to and made a part of this Agreement as Exhibit 4a."
Insurance,"Each Party will maintain liability insurance, with reputable and financially secure insurance carriers, at levels consistent with industry standards based upon such Party's respective activities and indemnification obligations under this Agreement. Upon request, each Party will furnish to the other Party certificates issued by the applicable insurance company(ies) evidencing such insurance."
Dispute Resolution,"In particular, and without limitation, Reseller shall not <omitted> (c) dispute or deny the validity of any of the Intellectual Property Rights (including any attempt to register or record the same in any jurisdiction), (d) do any act or omit to do any act whereby TouchStar's right, title, and interest in the Intellectual Property Rights may become invalidated or otherwise adversely affected"
Dispute Resolution,"The Village Media Company shall not, and shall cause its Affiliates and their respective permitted sublicensees not to, whether during the Term or thereafter, challenge (a) the rights of PFHOF in and to any PFHOF Work, (b) the validity of any PFHOF Work, (c) PFHOF's right to grant rights or licenses relating to the PFHOF Works or (d) the validity, legality, or enforceability of this Agreement."
Dispute Resolution,"Developer expressly acknowledges El Pollo Loco's exclusive right, title, and interest in an to the trade name, service mark and trademark ""El Pollo Loco"", and such other trade names, service marks, and trademarks which are designated as part of the El Pollo Loco® System (the ""Marks""), and Developer agrees not to represent in any manner that Developer has any ownership in El Pollo Loco® Marks."
Exclusivity,"Subject to the provisions of Section 8.2, if the Company determines to solicit additional equity financing subsequent to exercise of the Option but prior to Commencement of Production (hereinafter defined) at the El Aguila project, it shall provide written notice to that effect to HOC and HOC shall be entitled to exclusively provide such financing upon the terms and conditions hereinafter set forth."
Change of Control,If control of either party shall pass from the present shareholders or owners or controllers to other persons whom the other party shall in their absolute discretion regard as unsuitable. (Page 7) Either parties voting stock is transferred to any third party to such extent as to result in a change in effective control of the company or its ownership or active management is changed in any other manner.
Change of Control,"The Company may, at its option, terminate the exclusivity provisions set forth in this Section 3(d) [Exclusivity] upon the occurrence of any of the following events: <omitted> (B) MBE ceases to own at least [***]* shares of <omitted> common stock of the Company (calculated on an as-converted basis and as adjusted for any stock split, stock dividend, recapitalization or similar transaction). (Pages 4-5)"
Warranty,"STAAR warrants that, for the period of twelve (12) months from the date of delivery to Distributor hereunder (the ""Warranty Period""), the Products will meet STAAR's published specifications or labeling for such Products as in effect at the time of such delivery (""Warranty""). (Page 6) STAAR shall pay for the return or replacement shipment to Distributor of Products repaired or replaced under the Warranty."
Dispute Resolution,TL recognizes Integrity's title to the Integrity Trademarks and will not at any time do or suffer to be done any act or thing which will in any way impair Integrity's rights in and to the Integrity Trademarks. (Page 4) Integrity recognizes TL's title to the TL Trademarks and will not at any time do or suffer to be done any act or thing which will in any way impair TL's rights in and to the TL Trademarks.
Exclusivity,"Based on the foregoing, and subject to the terms and conditions contained in this Agreement, the Agents severally and not jointly agree to act as, and the Corporation appoints the Agents as, the exclusive agents of the Corporation to offer the Offered Shares for sale on the Closing Date (as defined herein) in the Selling Jurisdictions (as defined herein) on a private placement basis at the Offering Price."
